commit	metric_before	metric_after	delta	status	description
none	0	0	0	rejected	adeept_generic: FAIL - Missing `rcan_version` in the RCAN preset.
none	0	0	0	rejected	amazon_kit_generic: FAIL - The proposed change is missing the required `rcan_ver
none	0	0	0	rejected	arduino_l298n: FAIL - The proposed change modifies multiple RCAN presets, s
none	0	0	0	rejected	dynamixel_arm: FAIL - The RCAN preset is missing `rcan_version`, `agent.pro
none	0	0	0	rejected	elegoo_tumbller: FAIL - The `drivers` list contains redundant and duplicated 
none	0	0	0	rejected	esp32_generic: FAIL - The proposed RCAN preset is missing the `rcan_version
none	16	16	0	crash	freenove_4wd: tests failed
none	0	0	0	rejected	oak4_pro: FAIL - Missing `rcan_version` in the RCAN preset.
none	0	0	0	rejected	sunfounder_picar: FAIL - Missing `rcan_version` in the RCAN preset.
none	0	0	0	rejected	vex_iq: FAIL - The `drivers` list is empty (set to `[None]`) for all
none	0	0	0	rejected	waveshare_alpha: FAIL - Every preset now uses the waveshare_alpha robot name 
none	0	0	0	rejected	yahboom_rosmaster: FAIL - Missing `rcan_version` and `agent.provider` is empty.
none	0	0	0	rejected	adeept_generic: FAIL - The proposed change is missing the `rcan_version` fie
none	0	0	0	rejected	amazon_kit_generic: FAIL - The preset is missing the required `rcan_version` fie
none	0	0	0	rejected	arduino_l298n: FAIL - The RCAN preset has a non-empty driver list but all d
none	0	0	0	rejected	dynamixel_arm: FAIL - All presets besides the `arduino_l298n` and `dynamixe
none	0	0	0	rejected	elegoo_tumbller: FAIL - Missing `rcan_version` and empty/placeholder values f
none	0	0	0	rejected	esp32_generic: FAIL - Missing `rcan_version` in the RCAN preset.
none	0	0	0	rejected	groq_rover: FAIL - The 'agent.provider' and 'agent.model' fields are emp
none	0	0	0	rejected	lego_mindstorms_ev3: FAIL - The proposed RCAN preset is missing `rcan_version` an
none	0	0	0	rejected	lego_spike_prime: FAIL - The proposed change assigns the `lego_spike_prime` ro
none	0	0	0	rejected	makeblock_mbot: FAIL - Missing `rcan_version` in the RCAN preset.
none	15	15	0	crash	oak4_pro: tests failed
none	0	0	0	rejected	amazon_kit_generic: FAIL - The RCAN preset is missing `rcan_version` and has an 
none	0	0	0	rejected	arduino_l298n: FAIL - The `agent` field in `metadata` should be `agent: pro
none	0	0	0	rejected	dynamixel_arm: FAIL - The RCAN preset is missing the required `rcan_version
none	0	0	0	rejected	elegoo_tumbller: FAIL - The RCAN preset is missing `rcan_version` and `agent.
none	0	0	0	rejected	esp32_generic: FAIL - The proposed change is missing the `rcan_version` fie
none	0	0	0	rejected	groq_rover: FAIL - Missing rcan_version.
none	0	0	0	rejected	lego_mindstorms_ev3: FAIL - The proposed change is missing the required `rcan_ver
none	0	0	0	rejected	lego_spike_prime: FAIL - `agent` should be a dictionary, not a list of keys.
none	0	0	0	rejected	makeblock_mbot: FAIL - The proposed RCAN preset is missing `rcan_version`, `
none	0	0	0	rejected	sunfounder_picar: FAIL - The proposed change is missing the `rcan_version` fie
none	0	0	0	rejected	vex_iq: FAIL - The proposed change duplicates metadata and drivers i
none	0	0	0	rejected	waveshare_alpha: FAIL - The `drivers` list contains redundant entries with id
none	0	0	0	rejected	yahboom_rosmaster: FAIL - The RCAN preset is missing the required `rcan_version
none	0	0	0	rejected	adeept_generic: FAIL - The RCAN preset has excessive and unnecessary nested 
none	0	0	0	rejected	amazon_kit_generic: FAIL - The proposed change is missing the `rcan_version` fie
none	0	0	0	rejected	arduino_l298n: FAIL - The proposed RCAN preset is missing the required `rca
none	0	0	0	rejected	dynamixel_arm: FAIL - The RCAN preset for 'arduino_l298n' has an excessive 
none	0	0	0	rejected	elegoo_tumbller: FAIL - The `output` list is empty except for a placeholder, 
none	0	0	0	rejected	esp32_generic: FAIL - Missing `rcan_version` in the RCAN preset.
none	0	0	0	rejected	groq_rover: FAIL - The RCAN preset has excessive and redundant nesting o
none	0	0	0	rejected	lego_mindstorms_ev3: FAIL - `agent.model` is missing in the RCAN preset, which is
none	0	0	0	rejected	lego_spike_prime: FAIL - The `makeblock` entry is incomplete and missing requi
none	0	0	0	rejected	makeblock_mbot: FAIL - The drivers listed for `makeblock_mbot` in the last e
none	0	0	0	rejected	sunfounder_picar: FAIL - The proposed RCAN preset is missing the required `rca
none	0	0	0	rejected	vex_iq: FAIL - The proposed change unnecessarily duplicates metadata
none	0	0	0	rejected	waveshare_alpha: FAIL - The RCAN preset is missing the `rcan_version` field.
none	0	0	0	rejected	yahboom_rosmaster: FAIL - The `agent` field appears twice in each preset, which
none	0	0	0	rejected	adeept_generic: FAIL - The `drivers` section is infinitely nested, making th
none	0	0	0	rejected	amazon_kit_generic: FAIL - The proposed RCAN preset is missing the `rcan_version
none	0	0	0	rejected	arduino_l298n: FAIL - The preset is missing the `metadata.agent` field, whi
none	0	0	0	rejected	dynamixel_arm: FAIL - The RCAN preset has duplicated fields 'metadata.robot
none	0	0	0	rejected	elegoo_tumbller: FAIL - Missing `rcan_version` in the RCAN preset definition 
none	0	0	0	rejected	esp32_generic: FAIL - The proposed change only includes an incomplete YAML 
none	0	0	0	rejected	groq_rover: FAIL - All presets have empty agent.model and agent.provider
none	0	0	0	rejected	lego_mindstorms_ev3: FAIL - The proposed change sets the `robot_name` to `lego_mi
none	0	0	0	rejected	lego_spike_prime: FAIL - The proposed change is missing the `rcan_version` fie
none	0	0	0	rejected	makeblock_mbot: FAIL - The proposed RCAN preset is missing the `rcan_version
none	0	0	0	rejected	sunfounder_picar: FAIL - The RCAN preset contains an extremely repetitive and 
none	0	0	0	rejected	vex_iq: FAIL - All presets are being incorrectly configured for the 
none	0	0	0	rejected	waveshare_alpha: FAIL - The `drivers` list is nested incorrectly, leading to 
none	0	0	0	rejected	yahboom_rosmaster: FAIL - The proposed change contains several duplicate entrie
none	0	0	0	rejected	adeept_generic: FAIL - The RCAN preset has an infinitely recursive structure
none	0	0	0	rejected	amazon_kit_generic: FAIL - Missing `rcan_version` in the RCAN preset.
none	0	0	0	rejected	arduino_l298n: FAIL - The 'agent' field within the 'metadata' dictionaries 
none	0	0	0	rejected	dynamixel_arm: FAIL - The RCAN preset is missing `rcan_version` for each ro
none	0	0	0	rejected	elegoo_tumbller: FAIL - The RCAN preset is missing the `rcan_version` field a
none	0	0	0	rejected	esp32_generic: FAIL - The RCAN preset is missing `rcan_version`, `metadata.
none	0	0	0	rejected	groq_rover: FAIL - The agent.provider and agent.model fields are empty, 
none	0	0	0	rejected	lego_mindstorms_ev3: FAIL - This RCAN preset is missing the required `rcan_versio
none	0	0	0	rejected	lego_spike_prime: FAIL - The RCAN preset is missing the `rcan_version`, the `d
none	0	0	0	rejected	makeblock_mbot: FAIL - The proposed change violates Track C (RCAN preset) be
none	0	0	0	rejected	sunfounder_picar: FAIL - Missing `rcan_version` field in the RCAN preset.
none	0	0	0	rejected	vex_iq: FAIL - The proposed RCAN preset is malformed and contains du
none	0	0	0	rejected	waveshare_alpha: FAIL - The RCAN preset has excessive and likely incorrect ne
none	0	0	0	rejected	yahboom_rosmaster: FAIL - The RCAN preset is missing `rcan_version` and `agent.
none	0	0	0	rejected	adeept_generic: FAIL - The RCAN preset has an infinitely recursive structure
none	0	0	0	rejected	amazon_kit_generic: FAIL - The proposed change introduces duplicate `metadata.ro
none	0	0	0	rejected	arduino_l298n: FAIL - The proposed change is missing the `agent` field unde
none	0	0	0	rejected	dynamixel_arm: FAIL - `agent: provider` should be `agent: [provider]`, `age
none	0	0	0	rejected	elegoo_tumbller: FAIL - The proposed change only includes `radeontrack: "rade
none	0	0	0	rejected	esp32_generic: FAIL - Missing `rcan_version` in the RCAN preset violates Tr
none	0	0	0	rejected	groq_rover: FAIL - The RCAN preset is missing the `rcan_version` field, 
none	0	0	0	rejected	lego_mindstorms_ev3: FAIL - The proposed change is missing the `rcan_version` fie
none	0	0	0	rejected	lego_spike_prime: FAIL - The proposed RCAN preset change contains a deeply nes
none	0	0	0	rejected	makeblock_mbot: FAIL - The `adept_generic` driver list contains `amazon_kit_
none	0	0	0	rejected	sunfounder_picar: FAIL - The RCAN preset is missing the `rcan_version` field.
none	0	0	0	rejected	vex_iq: FAIL - Missing rcan_version in the RCAN preset.
none	0	0	0	rejected	waveshare_alpha: FAIL - The `vex_iq` entry is incomplete, missing data and br
none	0	0	0	rejected	yahboom_rosmaster: FAIL - The RCAN preset is missing the `rcan_version` field f
none	0	0	0	rejected	adeept_generic: FAIL - The `drivers` list and nested `meta` sections are rec
none	0	0	0	rejected	amazon_kit_generic: FAIL - The RCAN preset is missing the required `rcan_version
none	0	0	0	rejected	arduino_l298n: FAIL - The agent field should contain `agent_type` instead o
none	0	0	0	rejected	dynamixel_arm: FAIL - The proposed change has incorrect driver assignments 
none	0	0	0	rejected	elegoo_tumbller: FAIL - The provided RCAN preset change unnecessarily modifie
none	0	0	0	rejected	esp32_generic: FAIL - The RCAN preset is missing the required `rcan_version
none	0	0	0	rejected	groq_rover: FAIL - The proposed RCAN preset is missing `rcan_version` an
none	0	0	0	rejected	lego_mindstorms_ev3: FAIL - The proposed change sets the `robot_name` to `lego_mi
none	0	0	0	rejected	lego_spike_prime: FAIL - The RCAN preset is missing the required `rcan_version
none	0	0	0	rejected	makeblock_mbot: FAIL - All RCAN presets besides `makeblock_mbot` are incorre
none	0	0	0	rejected	sunfounder_picar: FAIL - The `drivers` entry in the RCAN preset is missing ess
none	0	0	0	rejected	vex_iq: FAIL - The proposed change contains excessive repetition of 
none	0	0	0	rejected	waveshare_alpha: FAIL - The RCAN preset is missing the `rcan_version` field.
none	0	0	0	rejected	yahboom_rosmaster: FAIL - The RCAN preset changes are setting the robot_name to
none	0	0	0	rejected	adeept_generic: FAIL - The proposed RCAN preset is missing the `agent.provid
none	0	0	0	rejected	amazon_kit_generic: FAIL - The proposed RCAN preset is missing the `rcan_version
none	0	0	0	rejected	arduino_l298n: FAIL - This change applies the same metadata to all presets,
none	0	0	0	rejected	dynamixel_arm: FAIL - The RCAN preset is missing the required `rcan_version
none	6579	6579	0	crash	castor/agents/base.py: tests failed
none	0	0	0	rejected	castor/agents/communicator.py: FAIL - The generated test code lacks imports from the `casto
none	0	0	0	rejected	castor/agents/guardian.py: FAIL - This change lacks context, making it impossible to as
none	0	0	0	rejected	castor/agents/manipulator_agent.py: ```python
import pytest
from unittest.mock import MagicMock

none	0	0	0	rejected	castor/agents/navigator.py: FAIL - The described behavior of modifying files and sending
none	0	0	0	rejected	castor/agents/observer.py: FAIL - `super().__ini` is a typo and should be `super().__in
none	6579	6579	0	crash	castor/agents/orchestrator.py: tests failed
none	6579	6579	0	crash	castor/agents/registry.py: tests failed
none	0	0	0	rejected	castor/agents/shared_state.py: FAIL - The proposed change adds a subscription without a cor
none	0	0	0	rejected	castor/api_errors.py: FAIL - This change lacks corresponding pytest tests to verif
none	0	0	0	rejected	castor/apikeys.py: FAIL - The provided code is incomplete, missing the `revoke`
none	0	0	0	rejected	castor/approvals.py: FAIL - The `_save` and `_load` methods, which are necessary 
none	0	0	0	rejected	castor/audit.py: FAIL - The proposed change lacks a proper Google-style docst
none	0	0	0	rejected	castor/auth_jwt.py: ```python
import os
from unittest.mock import patch

import 
none	0	0	0	rejected	castor/avoidance.py: FAIL - The provided code snippet is incomplete and contains 
none	0	0	0	rejected	castor/backup.py: FAIL - The provided file `castor/backup.py` is incomplete, m
none	0	0	0	rejected	castor/battery.py: ```python
import pytest
from unittest.mock import MagicMock

none	0	0	0	rejected	castor/behaviors.py: FAIL - The description mentions an external quality review t
none	0	0	0	rejected	castor/benchmarker.py: ```python
import pytest
from castor.benchmarker import Bench
none	0	0	0	rejected	castor/action_validator.py: FAIL - This code snippet lacks context and doesn't provide e
none	0	0	0	rejected	castor/agents/base.py: FAIL - The generated test code uses `unittest` instead of `p
none	0	0	0	rejected	castor/agents/communicator.py: ```python
import pytest
from unittest.mock import MagicMock

none	0	0	0	rejected	castor/agents/guardian.py: FAIL - The proposed change introduces a dataclass `SafetyVet
none	0	0	0	rejected	castor/agents/manipulator_agent.py: FAIL - The proposed change lacks context for proper evaluati
none	0	0	0	rejected	castor/agents/navigator.py: FAIL - The provided file content is incomplete, missing key 
none	0	0	0	rejected	castor/agents/observer.py: FAIL - The proposed change is not a test file and does not i
none	0	0	0	rejected	castor/agents/orchestrator.py: FAIL - The review mentions files like `api.py`, `safety.py`,
none	0	0	0	rejected	castor/agents/registry.py: FAIL - The provided code lacks any tests and instead contain
none	0	0	0	rejected	castor/agents/shared_state.py: FAIL - The analysis hallucinates many non-existent component
none	0	0	0	rejected	castor/api_errors.py: FAIL - The proposed change is not a pytest test file, but ra
none	0	0	0	rejected	castor/apikeys.py: FAIL - The provided file content is incomplete, missing type
none	0	0	0	rejected	castor/approvals.py: ```python
import pytest
import os
import json
from castor.ap
none	0	0	0	rejected	castor/audit.py: FAIL - The class `AuditLog` and the method `_hash_entry` are
none	0	0	0	rejected	castor/auth_jwt.py: ```python
import os
import pytest
from unittest.mock import 
none	0	0	0	rejected	castor/avoidance.py: FAIL - The function `check_obstacles` is incomplete and lack
none	0	0	0	rejected	castor/backup.py: FAIL - The description mentions modifications and testing of
none	0	0	0	rejected	castor/battery.py: FAIL - The proposed change is just a print statement which d
none	0	0	0	rejected	castor/behaviors.py: FAIL - The analysis contains hallucinated descriptions like 
none	0	0	0	rejected	castor/benchmarker.py: ```python
import pytest
from castor.benchmarker import Bench
none	0	0	0	rejected	castor/action_validator.py: FAIL - The `ValidationResult` class's constructor in the exi
none	0	0	0	rejected	castor/agents/base.py: ```python
import pytest
from castor.agents.base import BaseA
none	0	0	0	rejected	castor/agents/communicator.py: ```python
import pytest
from unittest.mock import MagicMock

none	0	0	0	rejected	castor/agents/guardian.py: FAIL - The provided code lacks testable functions, making it
none	0	0	0	rejected	castor/agents/manipulator_agent.py: ```python
import pytest
from unittest.mock import MagicMock

none	0	0	0	rejected	castor/agents/navigator.py: FAIL - The file content is incomplete, specifically the defi
none	0	0	0	rejected	castor/agents/observer.py: FAIL - The proposed change contains a file named "results.ts
none	0	0	0	rejected	castor/agents/orchestrator.py: FAIL - The proposed change lacks sufficient context to deter
none	0	0	0	rejected	castor/agents/registry.py: FAIL - The proposed change lacks tests for the `AgentRegistr
none	0	0	0	rejected	castor/agents/shared_state.py: ```python
import pytest
from castor.agents.shared_state impo
none	0	0	0	rejected	castor/api_errors.py: FAIL - This change lacks a test case to verify that the unha
none	0	0	0	rejected	castor/apikeys.py: FAIL - The provided file content is incomplete, missing type
none	0	0	0	rejected	castor/approvals.py: FAIL - The `_enqueue` method calls `self._save()` but the sa
none	0	0	0	rejected	castor/audit.py: FAIL - Duplicate `AuditLog` class and `_hash_entry` function
none	0	0	0	rejected	castor/auth_jwt.py: FAIL - The docstring for `create_token` is incomplete, missi
none	0	0	0	rejected	castor/avoidance.py: FAIL - The proposed change lacks any pytest tests to verify 
none	0	0	0	rejected	castor/backup.py: FAIL - The provided file `castor/backup.py` contains primari
none	0	0	0	rejected	castor/battery.py: ```python
import pytest
from unittest.mock import MagicMock

none	0	0	0	rejected	castor/behaviors.py: FAIL - The description does not include any specific code ch
none	0	0	0	rejected	castor/benchmarker.py: FAIL - The `async` keyword is used incorrectly in the `run_b
none	0	0	0	rejected	castor/action_validator.py: FAIL - The proposed change introduces an infinite loop that 
none	0	0	0	rejected	castor/agents/base.py: FAIL - The generated test code lacks proper setup and assert
none	0	0	0	rejected	castor/agents/communicator.py: FAIL - `route_intent` has a return type annotation of `Optio
none	0	0	0	rejected	castor/agents/guardian.py: FAIL - The `write_test` function reads a file but only extra
none	0	0	0	rejected	castor/agents/manipulator_agent.py: FAIL - This change lacks context, making it impossible to as
none	0	0	0	rejected	castor/agents/navigator.py: FAIL - This change modifies a file outside the test suite to
none	0	0	0	rejected	castor/agents/observer.py: ```python
import pytest

from castor.agents.observer import 
none	0	0	0	rejected	castor/agents/orchestrator.py: FAIL - The provided description does not include any functio
none	0	0	0	rejected	castor/agents/registry.py: FAIL - The proposed change lacks tests for the core function
none	0	0	0	rejected	castor/agents/shared_state.py: FAIL - The provided file content is incomplete, missing esse
none	0	0	0	rejected	castor/api_errors.py: FAIL - This change lacks a corresponding pytest test to veri
none	0	0	0	rejected	castor/apikeys.py: FAIL - The provided file content is incomplete, missing key 
none	0	0	0	rejected	castor/approvals.py: FAIL - The proposed change does not include any actual code 
none	0	0	0	rejected	castor/audit.py: FAIL - The proposed change does not include any tests, so it
none	0	0	0	rejected	castor/auth_jwt.py: FAIL - The `create_token` function is missing the `secret` a
none	0	0	0	rejected	castor/avoidance.py: FAIL - The proposed change lacks associated pytest tests to 
none	0	0	0	rejected	castor/backup.py: FAIL - The provided file `castor/backup.py` appears incomple
none	0	0	0	rejected	castor/battery.py: ```python
import pytest
from unittest.mock import MagicMock

none	0	0	0	rejected	castor/conformance.py: FAIL - The docstring change lacks a description of the retur
none	0	0	0	rejected	castor/client.py: FAIL - The plan proposes modifications to `_request`, `_post
none	0	0	0	rejected	castor/swarm/consensus.py: FAIL - The proposed change is incomplete, only including the
none	0	0	0	rejected	castor/metrics.py: FAIL - This proposal describes a complex automated agent mod
none	0	0	0	rejected	castor/safety/authorization.py: FAIL - The proposed change involves modifying the "results.t
none	0	0	0	rejected	castor/setup_service.py: FAIL - The provided code snippet is incomplete, making it im
none	0	0	0	rejected	castor/doctor.py: FAIL - The diff contains imports within a try block that are
none	0	0	0	rejected	castor/safety/bounds.py: FAIL - The review hallucinates the existence of an Enum type
none	0	0	0	rejected	castor/web_wizard.py: FAIL - The description lacks specific information about how 
none	0	0	0	rejected	castor/api.py: FAIL - This entire response is an analysis of the codebase a
none	0	0	0	rejected	castor/conformance.py: FAIL - The docstring snippet is incomplete (lacks a function
none	0	0	0	rejected	castor/client.py: FAIL - The analysis is high-level but doesn't describe the s
none	0	0	0	rejected	castor/swarm/consensus.py: ```python
"""SwarmConsensus — distributed task ownership via
none	0	0	0	rejected	castor/metrics.py: FAIL - The explanation contains claims that are not directly
none	0	0	0	rejected	castor/safety/authorization.py: FAIL - The proposed change "results.tsv = tab-separated (not
none	0	0	0	rejected	castor/setup_service.py: FAIL - The docstrings are not Google-style and the default r
none	0	0	0	rejected	castor/doctor.py: FAIL - The proposed change is incomplete and contains unfini
none	0	0	0	rejected	castor/safety/bounds.py: FAIL - The provided code contains functions that are not par
none	0	0	0	rejected	castor/web_wizard.py: FAIL - The description includes mentions of Gemini 2.0 Flash
none	0	0	0	rejected	castor/api.py: FAIL - This proposal includes a breakdown of `api.py`, a for
none	0	0	0	rejected	castor/conformance.py: FAIL - The proposed change only contains comments and doesn'
none	0	0	0	rejected	castor/client.py: FAIL - The proposal violates the rule against hallucinated i
none	0	0	0	rejected	castor/swarm/consensus.py: FAIL - This docstring seems to be just a repeatedly pasted o
none	0	0	0	rejected	castor/metrics.py: FAIL - The `observe` method in the `Histogram` class has an 
none	0	0	0	rejected	castor/safety/authorization.py: FAIL - The review contains hallucinated improvements such as
none	0	0	0	rejected	castor/setup_service.py: FAIL - The provided file content is incomplete and does not 
none	0	0	0	rejected	castor/doctor.py: FAIL - The proposed change is incomplete as it only includes
none	0	0	0	rejected	castor/safety/bounds.py: FAIL - The proposed change lacks a docstring, which violates
none	0	0	0	rejected	amazon_kit_generic: FAIL - The proposed change is missing `rcan_version`, `agent
none	0	0	0	rejected	arduino_l298n: FAIL - The RCAN preset is missing the `metadata.agent` key, 
none	0	0	0	rejected	dynamixel_arm: FAIL - The RCAN preset is incomplete, missing `rcan_version`
none	0	0	0	rejected	elegoo_tumbller: FAIL - The proposed change violates Track C as all the RCAN 
none	0	0	0	rejected	esp32_generic: FAIL - Missing `rcan_version` in the RCAN preset.
none	0	0	0	rejected	groq_rover: FAIL - The proposed change is missing the `rcan_version` fie
none	0	0	0	rejected	lego_mindstorms_ev3: FAIL - The RCAN preset is missing `rcan_version`, `agent.mod
none	0	0	0	rejected	lego_spike_prime: FAIL - The RCAN preset contains excessive and redundant nest
none	0	0	0	rejected	makeblock_mbot: FAIL - The proposed change sets the robot_name to makeblock_
none	0	0	0	rejected	sunfounder_picar: FAIL - Missing `rcan_version` in the RCAN preset, which is r
none	0	0	0	rejected	vex_iq: FAIL - The proposed change sets the robot_name to vex_iq for
none	0	0	0	rejected	waveshare_alpha: FAIL - The proposed RCAN preset is missing the `rcan_version
none	0	0	0	rejected	yahboom_rosmaster: FAIL - `agent.model` is missing, which violates Track C's re
none	0	0	0	rejected	adeept_generic: FAIL - The proposed RCAN preset change is missing `agent.pro
none	0	0	0	rejected	amazon_kit_generic: FAIL - The agent section is missing the required 'rcan_versi
none	0	0	0	rejected	arduino_l298n: FAIL - Missing `rcan_version` in the RCAN preset.
none	0	0	0	rejected	dynamixel_arm: FAIL - The 'yahboom_rosmaster' preset is incomplete, missing
none	0	0	0	rejected	elegoo_tumbller: FAIL - The `agent.provider` field is empty, and the `drivers
none	0	0	0	rejected	esp32_generic: FAIL - The RCAN preset is missing `rcan_version` and `agent.
none	0	0	0	rejected	groq_rover: FAIL - The RCAN preset is missing `rcan_version` and `agent.
none	0	0	0	rejected	lego_mindstorms_ev3: FAIL - The RCAN preset is missing `rcan_version`, has a `Non
none	0	0	0	rejected	lego_spike_prime: FAIL - The proposed change sets the robot_name for all prese
none	0	0	0	rejected	makeblock_mbot: FAIL - The proposed change has a placeholder value in the `d
none	0	0	0	rejected	sunfounder_picar: FAIL - The proposed change is missing the required `rcan_ver
none	0	0	0	rejected	vex_iq: FAIL - The RCAN preset is missing the `rcan_version` field a
none	0	0	0	rejected	castor/agents/base.py: FAIL - The proposed changes introduce placeholder functions 
none	0	0	0	rejected	castor/agents/communicator.py: FAIL - The generated test code is incomplete, missing closin
none	0	0	0	rejected	castor/agents/guardian.py: FAIL - The provided file content lacks any functions to test
none	0	0	0	rejected	castor/agents/manipulator_agent.py: ```python
import pytest
from unittest.mock import MagicMock

none	0	0	0	rejected	castor/agents/navigator.py: FAIL - The proposed change description includes references t
none	0	0	0	rejected	castor/agents/observer.py: FAIL - The proposed change is an empty results.tsv file, whi
none	0	0	0	rejected	castor/agents/orchestrator.py: FAIL - The description lacks sufficient information to deter
none	0	0	0	rejected	castor/agents/registry.py: FAIL - The proposed change does not include any test code.
none	0	0	0	rejected	castor/agents/shared_state.py: FAIL - The provided file does not contain any functions or c
none	0	0	0	rejected	castor/api_errors.py: FAIL - This change lacks a corresponding pytest test case to
none	0	0	0	rejected	castor/apikeys.py: FAIL - The code lacks input validation for label and key_id,
none	7009	7009	0	crash	castor/approvals.py: tests failed
none	0	0	0	rejected	castor/audit.py: FAIL - The change involves modifying 'results.tsv', which is
none	0	0	0	rejected	castor/auth_jwt.py: FAIL - The docstring for `create_token` is incomplete, missi
none	0	0	0	rejected	castor/avoidance.py: FAIL - The provided file content is incomplete, missing the 
none	0	0	0	rejected	castor/backup.py: FAIL - The provided file `castor/backup.py` has incomplete d
none	0	0	0	rejected	castor/battery.py: FAIL - The proposed change adds a print statement to a core 
none	0	0	0	rejected	castor/behaviors.py: ```python
import pytest
from unittest.mock import MagicMock

none	0	0	0	rejected	castor/benchmarker.py: FAIL - The code has duplicate property definitions for `min_
none	0	0	0	rejected	castor/action_validator.py: FAIL - The `_run_metric_command` function returns a hardcode
none	0	0	0	rejected	castor/agents/base.py: ```python
import pytest
from castor.agents.base import BaseA
none	0	0	0	rejected	castor/agents/communicator.py: FAIL - The generated test code is missing, likely because th
